date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:42:51	32328/32328	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:42:55%20GMT	https://toystore-template.webflow.io/contacts	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/contacts.html	(from https://toystore-template.webflow.io/)
23:42:51	80857/80857	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:42:55%20GMT	https://toystore-template.webflow.io/checkout	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/checkout.html	(from https://toystore-template.webflow.io/)
23:42:54	509283/509283	---M--	200	added ('OK')	image/png	etag:%2236c70af6703580fc1900a95cdacf64b3%22	https://assets.website-files.com/5badda2935e11303a89a461e/5badf21356ac5470c84dfbf4_33903-2-plush-toy-transparent-image-min.png	C:/Users/Justin/Desktop/Website/template/assets.website-files.com/5badda2935e11303a89a461e/5badf21356ac5470c84dfbf4_33903-2-plush-toy-transparent-image-min.png	(from https://toystore-template.webflow.io/)
23:42:55	41964/41964	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:42:59%20GMT	https://toystore-template.webflow.io/product/teddy-bear	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/product/teddy-bear.html	(from https://toystore-template.webflow.io/)
23:42:55	263516/263516	---M--	200	added ('OK')	image/png	etag:%22ea5570e714c4181f13c37ba907162117%22	https://assets.website-files.com/5badda2935e11303a89a461e/5badf2131f2da24c02171c72_33727-9-wooden-toy-transparent-image-min.png	C:/Users/Justin/Desktop/Website/template/assets.website-files.com/5badda2935e11303a89a461e/5badf2131f2da24c02171c72_33727-9-wooden-toy-transparent-image-min.png	(from https://toystore-template.webflow.io/)
23:42:56	42020/42020	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:43:00%20GMT	https://toystore-template.webflow.io/product/mega-plush-toy	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/product/mega-plush-toy.html	(from https://toystore-template.webflow.io/)
23:42:58	509283/509283	---M--	200	added ('OK')	image/png	etag:%2236c70af6703580fc1900a95cdacf64b3%22	https://assets.website-files.com/5baddb6a35e113da0e9a4802/5bae12942ca03553bf0d536c_33903-2-plush-toy-transparent-image-min.png	C:/Users/Justin/Desktop/Website/template/assets.website-files.com/5baddb6a35e113da0e9a4802/5bae12942ca03553bf0d536c_33903-2-plush-toy-transparent-image-min.png	(from https://toystore-template.webflow.io/)
23:42:58	41955/41955	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:43:02%20GMT	https://toystore-template.webflow.io/product/cute-dog	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/product/cute-dog.html	(from https://toystore-template.webflow.io/)
23:42:59	359186/359186	---M--	200	added ('OK')	image/png	etag:%22d1b3b758df71fdb8965ed1b366fa76d8%22	https://assets.website-files.com/5baddb6a35e113da0e9a4802/5bae124e03ef144f2b4a9bef_33837-2-plush-toy-transparent-background-min.png	C:/Users/Justin/Desktop/Website/template/assets.website-files.com/5baddb6a35e113da0e9a4802/5bae124e03ef144f2b4a9bef_33837-2-plush-toy-transparent-background-min.png	(from https://toystore-template.webflow.io/)
23:43:00	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2022%20Apr%202023%2006:43:04%20GMT	https://toystore-template.webflow.io/product/little-friend	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/product/little-friend	(from https://toystore-template.webflow.io/)
23:43:02	435452/435452	---M--	200	added ('OK')	image/png	etag:%22fba44d7a0f88becee3ae67359acb8d2d%22	https://assets.website-files.com/5baddb6a35e113da0e9a4802/5bae0f7a1f2da258291736c4_33908-7-plush-toy-file-min.png	C:/Users/Justin/Desktop/Website/template/assets.website-files.com/5baddb6a35e113da0e9a4802/5bae0f7a1f2da258291736c4_33908-7-plush-toy-file-min.png	(from https://toystore-template.webflow.io/)
23:43:02	42126/42126	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:43:05%20GMT	https://toystore-template.webflow.io/product/happy-flower	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/product/happy-flower.html	(from https://toystore-template.webflow.io/)
23:43:03	392366/392366	---M--	200	added ('OK')	image/png	etag:%22615ba1aee4ef9db468c5197c83a836bf%22	https://assets.website-files.com/5baddb6a35e113da0e9a4802/5bae0f1835e11376299a8089_33878-5-plush-toy-transparent-min.png	C:/Users/Justin/Desktop/Website/template/assets.website-files.com/5baddb6a35e113da0e9a4802/5bae0f1835e11376299a8089_33878-5-plush-toy-transparent-min.png	(from https://toystore-template.webflow.io/)
23:43:03	42127/42127	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:43:07%20GMT	https://toystore-template.webflow.io/product/lift-machine	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/product/lift-machine.html	(from https://toystore-template.webflow.io/)
23:43:04	263516/263516	---M--	200	added ('OK')	image/png	etag:%22ea5570e714c4181f13c37ba907162117%22	https://assets.website-files.com/5baddb6a35e113da0e9a4802/5baf529c7a16ad5b5fd9fdf3_33727-9-wooden-toy-transparent-image-min.png	C:/Users/Justin/Desktop/Website/template/assets.website-files.com/5baddb6a35e113da0e9a4802/5baf529c7a16ad5b5fd9fdf3_33727-9-wooden-toy-transparent-image-min.png	(from https://toystore-template.webflow.io/)
23:43:05	41968/41968	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:43:08%20GMT	https://toystore-template.webflow.io/product/wooden-camera	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/product/wooden-camera.html	(from https://toystore-template.webflow.io/)
23:43:05	226327/226327	---M--	200	added ('OK')	image/png	etag:%2276f37a4d2043c952f1c4f8e032a4a5b2%22	https://assets.website-files.com/5baddb6a35e113da0e9a4802/5baf525bbf02340f30398cb3_33505-6-wooden-toy-clipart-min.png	C:/Users/Justin/Desktop/Website/template/assets.website-files.com/5baddb6a35e113da0e9a4802/5baf525bbf02340f30398cb3_33505-6-wooden-toy-clipart-min.png	(from https://toystore-template.webflow.io/)
23:43:06	42109/42109	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:43:10%20GMT	https://toystore-template.webflow.io/product/little-rabbit	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/product/little-rabbit.html	(from https://toystore-template.webflow.io/)
